p_id,c_id,is_past,title
p:5,c:3,1,Senior Director Strategic Alliances
p:7,c:4,1,Chief Executive Officer
p:14,c:5,1,Co-founder
p:18,c:7299,1,"SVP, Technology and Partnerships"
p:19,c:7299,1,"VP, Finance & Administration"
p:22,c:7299,1,"VP, Business Development"
p:24,c:7299,1,"VP, Marketing"
p:30,c:9,1,Founder & Chairman
p:39,c:10,1,Co-founder and CEO
p:41,c:10,1,"COO, Co-Founder"
p:61,c:16,1,SVP Product Marketing & Content Programming
p:67,c:19,1,Founder/CEO/Chairman
p:79,c:20,1,"SVP, Corporate Affairs"
p:90,c:8,1,Executive Vice President
p:99,c:27,1,Board
p:106,c:30,1,Board / Founder / CEO
p:123,c:38,1,CEO and co-founder
p:127,c:40,1,President and CEO
p:128,c:40,1,"SVP, Corporate Development & General Counsel"
p:130,c:40,1,Chairman
p:134,c:43,1,Board
p:147,c:47,1,CEO and Co-Founder
p:161,c:55,1,CEO / Co - Founder
p:167,c:63,1,Co - Founder / CEO
p:168,c:63,1,Co - Founder & CTO
p:174,c:67,1,CEO
p:181,c:65,1,CEO
p:182,c:65,1,Senior VP Product and Content
p:183,c:65,1,CEO
p:185,c:69,1,Founder/CEO
p:189,c:70,1,Founder & CMO
p:192,c:72,1,Founder and CEO
p:203,c:75,1,Founder
p:207,c:78,1,CEO
p:213,c:80,1,Co-Founder
p:6,c:81,1,Co-founder
p:6,c:82,1,Co-Founder
p:223,c:82,1,Co-Founder & COO
p:249,c:85,1,"Founder & CEO, POPSUGAR"
p:80,c:62,1,Co-Founder
p:79,c:62,1,President
p:261,c:73,1,Founder & CEO
p:265,c:96,1,CTO
p:278,c:99,1,CEO
p:280,c:99,1,"Co-Founder, Co-CEO"
p:297,c:105,1,Co-founder / CEO
p:308,c:106,1,Co-Founder/CEO
p:311,c:108,1,COO
p:313,c:108,1,SVP - Business Development
p:1381,c:367,1,Co-founder
p:1378,c:391,1,COO
p:1375,c:391,1,VP Business Development
p:335,c:113,1,Co-founder and CTO
p:338,c:114,1,Co-Founder & Chairman
p:339,c:114,1,Co - Founder / CEO
