invested_id,investor_id,date,round,amount
c:34,c:1230,2007-02-01,series-b,5500000
c:199,c:13301,2006-12-01,series-a,5600000
c:325,c:250,2007-01-01,series-c+,59500000
c:325,c:350,2007-01-01,series-c+,59500000
c:36,c:24,2007-01-01,series-b,16000000
c:36,c:396,2007-01-01,series-b,16000000
c:565,c:185,2001-12-01,series-c+,11200000
c:38,c:823,2007-12-01,series-b,15000000
c:1080,c:1444,2005-10-01,series-a,1100000
c:1088,c:20953,2007-10-31,series-a,750000
c:1163,c:62,2007-02-20,series-a,3100000
c:1163,c:59,2007-02-20,series-a,3100000
c:1390,c:1230,2007-09-01,series-b,50000000
c:1660,c:104962,2007-10-23,series-b,101000000
c:1668,c:10360,2006-06-01,series-c+,75000000
c:1853,c:479,2008-01-01,series-c+,27000000
c:1080,c:250,2008-01-01,series-b,29500000
c:1923,c:20953,2008-02-07,angel,900000
c:38,c:2913,2008-03-10,series-b,6100000
c:517,c:20953,2008-04-07,series-a,6500000
c:5293,c:39797,2008-04-22,series-b,7000000
c:5588,c:5707,2005-06-09,series-a,12000000
c:6340,c:41,2008-06-01,series-b,8000000
c:701,c:20953,2008-06-26,series-a,1500000
c:8583,c:1230,2008-07-21,series-a,5000000
c:1870,c:28,2008-08-06,series-c+,22000000
c:1870,c:1915,2008-08-06,series-c+,22000000
c:1870,c:5471,2008-08-06,series-c+,22000000
c:1668,c:10360,2008-03-01,series-c+,300000000
c:1668,c:2467,2008-03-01,series-c+,300000000
c:11571,c:30480,2009-07-27,series-c+,12200000
c:11684,c:59,2005-07-06,venture,100000000
c:11684,c:45,2005-07-06,venture,100000000
c:1731,c:59,2006-12-01,angel,0
c:12315,c:8750,2006-11-21,series-b,16000000
c:176,c:12775,2008-10-22,series-c+,22700000
c:12352,c:13246,2008-10-30,series-c+,30000000
c:10795,c:28,2008-11-19,venture,22000000
c:15563,c:8750,2008-05-12,series-c+,14500000
c:15768,c:15774,2008-03-11,venture,55000000
c:15829,c:15828,2007-05-01,series-a,13300000
c:16291,c:3320,2007-01-22,series-b,19500000
c:16291,c:14111,2007-01-22,series-b,19500000
