id,name,normalized_name,founded_at
f:1,Greylock Partners,greylock,1965-01-01
f:10,Mission Ventures,mission ventures,1996-01-01
f:100,"Kapor Enterprises, Inc.",kapor enterprises,
f:1000,Speed Ventures,speed ventures,
f:10000,3x5 Special Opportunity Partners,3x5 special opportunity,
f:10001,Salem Partners,salem,1997-01-01
f:10002,3T Capital,3t,
f:10003,Merieux Developpement,merieux developpement,2009-01-01
f:10004,Aquasourca,aquasourca,
f:10005,Texas Entrepreneur Networks,texas entrepreneur networks,2009-01-01
f:10007,Precedent Investments,precedent investments,
f:10008,Navitrio,navitrio,
f:1001,Burch Investment Group,burch investment group,
f:10011,DRAW,draw,
f:10012,The Bollard Group,the bollard group,
f:10013,EJ Funds,ej funds,
f:10014,Kuzari Group,kuzari group,
f:10015,IMI.VC,imi vc,2011-07-31
f:10019,Eurofin Ventures,eurofin ventures,1999-01-01
f:1002,Alven Capital,alven,2000-01-01
f:10020,East Valley Ventures,east valley ventures,2011-01-01
f:10021,National Research Foundation,national research foundation,2006-01-01
f:10022,Venture Partners,venture,2011-01-01
f:10023,Yumedeals,yumedeals,2010-11-03
f:10024,Tron Capital,tron,1997-01-01
f:10027,Branford Castle Private Equity,branford castle private equity,1987-01-01
f:10028,Startup Alliance,startup alliance,
f:10029,Redpoint eVentures Brazil,redpoint eventures brazil,
f:1003,Alten Capital,alten,2008-10-01
f:10030,Canyon Creek Capital,canyon creek,2011-08-17
f:10031,Karlin Ventures,karlin ventures,
f:10032,n/ab,n ab,
f:10033,n/aa,n aa,
f:10036,SharesPost Investment Management,sharespost investment management,
f:10038,B Dash Ventures,b dash ventures,2011-09-01
f:10039,BIGLOBE Capital,biglobe,2007-10-01
f:10040,Gumi Ventures,gumi ventures,
f:10041,MusiGraphics Advertising,musigraphics advertising,
f:10042,Riyadh Valley Company,riyadh valley company,2010-03-29
f:10043,Altimeter Capital,altimeter,
f:10044,Archimedia Investments,archimedia investments,
f:10046,LaunchTime,launchtime,
f:10047,CHP,chp,2008-01-01
f:10048,Camp One Ventures,camp one ventures,2012-07-01
f:10049,Biotechnology Value Fund,biotechnology value,1993-01-01
f:1005,Grey Ventures,grey ventures,1917-01-01
f:10050,Allegro Venture Partners,allegro venture,
f:10051,LAUNCHub,launchub,2012-04-01
f:10052,Berrier Capital,berrier,
f:10053,HFG Wealth Management,hfg wealth management,1985-01-01
f:10054,Big Sur Ventures,big sur ventures,
f:10055,Necotium,necotium,
f:10056,Crystal Horse Investments,crystal horse investments,2010-09-01
f:10057,JCB Investments,jcb investments,
f:10058,La Jolla Holding,la jolla holding,
f:10059,ISF Capital Développement 2015,isfdéveloppement 2015,
f:1006,Creathor Venture Management,creathor venture management,2003-01-01
f:10061,WFA Global Investments,wfa global investments,
f:10062,OPCVM 360,opcvm 360,2012-01-02
f:10063,Pacific Advantage Capital,pacific advantage,2008-01-01
f:10064,Duet Partners Ltd,duet partners,2009-01-01
f:10066,ELIAN INVESTMENT,elian investment,
f:10067,VMS Capital,vms,2012-08-01
f:10069,Euroserve GmbH,euroserve,
f:1007,i2E,i2e,1997-09-01
f:10071,Liberty Global Ventures,liberty global ventures,2005-01-01
f:10074,Mundivox,mundivox,1999-01-01
f:10075,Good Works Ventures,good works ventures,
f:10076,Agate Medical Investments,agate medical investments,2007-01-01
f:10078,Xerox UK Ltd,xerox uk,
f:10079,Lion Fund,lion,2012-11-01
f:1008,Madrone Capital Partners,madronepartners,
f:10081,Deciens Capital,deciens,2012-07-15
f:10082,Inimiti,inimiti,
f:10083,Cedar St Capital,cedar st,
f:10084,Trebuchet Investments,trebuchet investments,
f:10085,Padova Investments,padova investments,
f:10086,JUMPSTART CAPITAL,jumpstart,2001-01-01
f:10087,Fraser McCombs Capital,fraser mccombs,2011-10-01
f:10089,Windsor Brokers,windsor brokers,1988-01-01
f:1009,Croghan Investments,croghan investments,
f:10090,Arpheus GmbH,arpheus,
