c_id,f_id,date,round,amount
c:5,f:4,2005-05-01,series-a,12700000
c:5,f:1,2006-04-01,series-b,27500000
c:5,f:5,2006-04-01,series-b,27500000
c:5,f:6,2006-04-01,series-b,27500000
c:5,f:3181,2006-04-01,series-b,27500000
c:9,f:7,2007-03-01,series-b,10000000
c:34,f:127,2006-05-01,series-a,2500000
c:34,f:67,2006-05-01,series-a,2500000
c:34,f:127,2007-02-01,series-b,5500000
c:34,f:67,2007-02-01,series-b,5500000
c:38,f:32,2007-07-01,series-a,2250000
c:38,f:26,2007-07-01,series-a,2250000
c:38,f:242,2007-07-01,series-a,2250000
c:25732,f:72,2007-05-24,series-b,6000000
c:25732,f:13,2007-05-24,series-b,6000000
c:25732,f:235,2007-05-24,series-b,6000000
c:176,f:42,2007-01-29,series-c+,12800000
c:176,f:319,2007-01-29,series-c+,12800000
c:199,f:3276,2006-12-01,series-a,5600000
c:199,f:1212,2006-12-01,series-a,5600000
c:234,f:2,2004-01-01,angel,300000
c:234,f:26,2005-04-01,series-b,3100000
c:234,f:155,2005-04-01,series-b,3100000
c:235,f:12,2006-05-01,series-a,4000000
c:235,f:29,2006-05-01,series-a,4000000
c:235,f:268,2006-05-01,series-a,4000000
c:12,f:7,2007-07-01,series-a,5000000
c:12,f:45,2007-07-01,series-a,5000000
c:12,f:3181,2007-07-01,series-a,5000000
c:322,f:201,2010-11-16,series-a,0
c:322,f:367,2010-11-16,series-a,0
c:326,f:11,2007-04-24,series-b,10000000
c:326,f:147,2007-04-24,series-b,10000000
c:326,f:204,2007-04-24,series-b,10000000
c:326,f:109,2007-04-24,series-b,10000000
c:325,f:205,2007-01-01,series-c+,59500000
c:325,f:224,2007-01-01,series-c+,59500000
c:325,f:225,2007-01-01,series-c+,59500000
c:325,f:235,2007-01-01,series-c+,59500000
c:325,f:4,2007-01-01,series-c+,59500000
c:325,f:139,2007-01-01,series-c+,59500000
c:325,f:3800,2007-01-01,series-c+,59500000
c:325,f:507,2007-01-01,series-c+,59500000
c:325,f:1287,2007-01-01,series-c+,59500000
c:36,f:17,2007-01-01,series-b,16000000
c:36,f:2854,2007-01-01,series-b,16000000
c:420,f:245,2007-08-01,series-b,10300000
c:420,f:166,2007-08-01,series-b,10300000
c:420,f:17,2007-08-01,series-b,10300000
c:429,f:134,2004-08-01,series-b,15000000
c:429,f:13,2004-08-01,series-b,15000000
c:429,f:690,2006-11-01,series-c+,30000000
c:429,f:1287,2006-11-01,series-c+,30000000
c:477,f:252,2007-06-26,series-a,6000000
c:477,f:251,2007-06-26,series-a,6000000
c:531,f:18,2007-08-01,series-a,17500000
c:531,f:248,2007-08-01,series-a,17500000
c:531,f:271,2007-08-01,series-a,17500000
c:510,f:83,1999-10-01,series-a,60000000
c:510,f:6855,1999-10-01,series-a,60000000
c:489,f:130,2005-03-01,series-c+,60000000
c:481,f:48,2007-03-20,series-c+,12900000
c:481,f:42,2007-03-20,series-c+,12900000
c:481,f:195,2007-03-20,series-c+,12900000
c:555,f:215,2007-08-23,series-a,10260000
c:555,f:86,2007-08-23,series-a,10260000
c:565,f:292,2001-12-01,series-c+,11200000
c:565,f:12,2001-12-01,series-c+,11200000
c:565,f:215,2001-12-01,series-c+,11200000
c:565,f:7,2001-12-01,series-c+,11200000
c:565,f:293,2001-12-01,series-c+,11200000
c:565,f:294,2001-12-01,series-c+,11200000
c:565,f:243,2001-12-01,series-c+,11200000
c:38,f:26,2007-12-01,series-b,15000000
c:38,f:1770,2007-12-01,series-b,15000000
c:38,f:3276,2007-12-01,series-b,15000000
c:38,f:9018,2007-12-01,series-b,15000000
c:617,f:94,2007-05-22,series-b,12500000
c:617,f:248,2007-05-22,series-b,12500000
c:617,f:510,2007-05-22,series-b,12500000
c:698,f:74,2006-10-27,angel,1000000
c:148,f:94,2007-05-24,series-a,0
c:148,f:99,2007-05-24,series-a,0
c:702,f:562,2007-12-18,series-b,8500000
c:705,f:173,2007-08-29,series-a,7500000
c:705,f:332,2007-08-29,series-a,7500000
c:757,f:17,2007-08-01,series-a,15000000
c:760,f:361,2006-04-01,series-a,122499000
c:760,f:249,2006-04-01,series-a,122499000
c:760,f:258,2006-04-01,series-a,122499000
c:760,f:133,2006-04-01,series-a,17000000
c:760,f:249,2006-04-01,series-a,17000000
c:760,f:258,2006-04-01,series-a,17000000
c:763,f:32,2007-04-01,series-a,1900000
c:874,f:66,2007-07-01,series-a,5000000
c:874,f:3181,2007-07-01,series-a,5000000
c:640,f:367,2007-10-02,angel,0
c:640,f:480,2007-10-02,angel,0
c:1396,f:261,2008-04-03,series-a,17000000
c:972,f:430,2007-09-01,series-c+,12400000
c:972,f:62,2007-09-01,series-c+,12400000
c:972,f:147,2007-09-01,series-c+,12400000
c:972,f:431,2007-09-01,series-c+,12400000
c:760,f:133,2006-09-01,series-c+,100299000
c:760,f:361,2006-09-01,series-c+,100299000
c:760,f:36,2006-09-01,series-c+,100299000
c:760,f:249,2006-09-01,series-c+,100299000
c:760,f:258,2006-09-01,series-c+,100299000
c:1080,f:458,2005-10-01,series-a,1100000
c:1080,f:272,2005-10-01,series-a,1100000
c:1080,f:75,2005-10-01,series-a,1100000
c:1088,f:34,2007-10-31,series-a,750000
c:1088,f:45,2007-10-31,series-a,750000
c:1163,f:96,2007-02-20,series-a,3100000
c:1163,f:137,2007-02-20,series-a,3100000
c:1163,f:18,2007-02-20,series-a,3100000
c:1163,f:3181,2007-02-20,series-a,3100000
c:1213,f:23,2007-10-01,series-b,4500000
c:3096,f:295,2006-06-01,series-a,10000000
c:3096,f:1039,2006-06-01,series-a,10000000
c:3096,f:497,2007-11-01,series-b,100000000
c:1224,f:65,2007-02-01,series-a,3000000
c:1224,f:215,2007-09-01,series-b,8200000
c:1224,f:2948,2007-09-01,series-b,8200000
c:1224,f:65,2007-09-01,series-b,8200000
c:1304,f:86,2008-03-01,series-b,15000000
c:1304,f:173,2008-03-01,series-b,15000000
c:1304,f:73,2008-03-01,series-b,15000000
c:1308,f:477,2007-06-01,angel,0
c:1319,f:94,2007-02-21,series-a,2800000
c:1319,f:437,2007-02-21,series-a,2800000
