f_id,id,name,funded_at,amount,source
f:371,1,Second Fund,2008-12-16,300000000.0,http://www.pehub.com/26194/dfj-dragon-raising-second-fund/
f:17,4,Sequoia Israel Fourth Fund,2008-12-17,200750000.0,http://www.pehub.com/26725/sequoia-israel-raises-fourth-fund/
f:951,5,Tenth fund,2008-08-11,650000000.0,http://venturebeat.com/2008/08/11/interwest-closes-650m-fund/
f:519,7,Third fund,2008-05-20,200000000.0,http://venturebeat.com/2008/05/20/disneys-steamboat-ventures-looking-to-raise-200m-fund/
f:1811,8,Inventus Capital Partners Fund I LP,2007-11-30,51750000.0,http://venturebeat.com/2008/01/14/kanwal-rekhis-india-focused-firm-inventus-raises-442m/
f:849,9,Unattributed,2008-04-16,512000000.0,http://venturebeat.com/2008/04/16/ftventures-raises-512m-fund-short-of-its-600m-target/
f:1829,10,Sequoia Capital Investment,2007-09-23,5000000.0,http://venturebeat.com/2007/10/23/sequoia-capital-invests-in-noah-a-chinese-wealth-management-co/
f:1846,11,Roll Up Strategy,2007-07-09,100000000.0,http://venturebeat.com/2007/07/09/bertram-capital-raises-100m-more-for-rollup-strategy/
f:1857,13,Venture capital Funds,2007-10-04,250000000.0,http://venturebeat.com/2007/10/04/braemar-energy-ventures-raises-250-fund-one-of-largest-clean-tech-funds-yet/
f:105,14,Balderton Capital IV,2009-01-12,430000000.0,http://www.techcrunch.com/?p=37231
f:1868,17,Cisco-Pentagon-Intelsat communications,2007-04-01,200000000.0,http://venturebeat.com/2007/04/09/concerto-advisors-to-raise-200m-for-cisco-pentagon-intelsat-communications-deal/
f:745,18,"Foundry Venture Capital 2007, L.P.",2007-09-20,225000000.0,http://venturebeat.com/2007/09/20/from-mobius-venture-capital-ashes-arises-foundry-group-with-160m-plus-fund/
f:166,19,venture fund,2007-09-20,365000000.0,http://venturebeat.com/2007/09/20/lehman-brothers-raises-365m-venture-fund/
f:1882,20,Exchange Traded Funds,2007-09-19,10000000.0,http://venturebeat.com/2007/09/19/xshares-raises-10m-for-exchange-traded-funds-despite-struggle/
f:1914,21,Second Fund,2008-05-21,100000000.0,http://venturebeat.com/2008/05/21/canopy-ventures-raises-100m-second-fund-for-it-and-life-science/
f:1924,22,Fund 1,2008-07-11,250000000.0,http://venturebeat.com/2008/07/11/deep-fork-ventures-raises-500m-fund/
f:101,23,Fund 4,2010-08-30,250000000.0,http://venturebeat.com/2008/02/08/bluerun-ventures-raises-initial-200m-fund-for-consumer-and-mobile-investments/
f:318,24,Fund 8,2008-02-04,303000000.0,http://venturebeat.com/2008/02/04/advanced-technology-ventures-closes-new-303m-fund/
f:17,25,Sequoia India III,2007-08-17,300000000.0,http://venturebeat.com/2007/08/13/sequoia-india-about-to-finish-raising-280m-fund/
f:123,26,"2007 ""Consumer"" Fund",2007-07-09,300000000.0,http://venturebeat.com/2007/07/09/highland-capital-launches-300m-consumer-vc-fund/
f:137,27,Battery Fund,2007-07-06,750000000.0,http://venturebeat.com/2007/07/06/svb-capital-and-battery-raise-latest-vc-funds-battery-on-a-roll/
f:1473,28,SVB July 2007 Fund,2007-07-06,255000000.0,http://venturebeat.com/2007/07/06/svb-capital-and-battery-raise-latest-vc-funds-battery-on-a-roll/
f:568,29,DFJ Frontier Fund II,2009-04-18,55000000.0,http://www.marketwire.com/press-release/Dfj-Frontier-979884.html
f:34,30,Spark Media Fund II,2007-07-18,360000000.0,http://venturebeat.com/2007/07/18/spark-capital-raises-360m-for-second-media-fund/
f:484,31,IVP Fund -- May 2007,2007-05-18,600000000.0,http://venturebeat.com/2007/05/18/ivp-raises-600-million-fund-to-invest-in-late-stage-technology-companies/
f:338,32,Artiman Ventures Fund II,2007-05-21,185000000.0,http://venturebeat.com/2007/05/21/artiman-ventures-raises-185m-fund/
f:245,33,Carmel Ventures III,2008-02-05,235000000.0,http://venturebeat.com/2008/02/05/israeli-vc-firm-carmel-ventures-raises-235m-for-third-fund/
f:174,34,second fund,2007-01-01,200000000.0,http://venturebeat.com/2007/05/22/emergence-finishes-raising-second-fund-at-200m/
f:191,36,Venrock V,2007-04-25,600000000.0,http://venturebeat.com/2007/04/25/venrock-raises-600m-fund-for-early-stage-investing-hires-siminoff/
f:26,37,Tenth Fund,2010-07-01,350000000.0,http://venturebeat.com/2007/03/22/dfj-raises-4345-million-venture-capital-fund/
f:111,38,Fund VIII,2009-01-29,283000000.0,http://www.techcrunch.com/2009/01/29/atlas-closes-a-leaner-but-meaner-283-million-fund/
f:521,39,India Investment,2007-07-17,189000000.0,http://venturebeat.com/2007/07/17/nea-indous-ventures-raises-189m-for-investing-in-india/
f:13,40,Redpoint Omega,2007-03-13,250000000.0,http://venturebeat.com/2007/03/13/redpoint-ventures-raises-250-million-later-stage-fund/
f:1989,41,January 2009,2009-02-02,865000000.0,http://dealbook.blogs.nytimes.com/2009/02/02/vision-capital-raises-865-million-for-new-fund-report-says/
f:426,48,Epic Venture Fund IV,2009-03-09,35750000.0,http://www.socialmedian.com/story/3414090/epic-ventures-raising-fund-iv
f:7,50,Charles River Partnership XIV,2009-03-30,320000000.0,http://www.techcrunch.com/2009/03/30/charles-river-ventures-raises-320-million-for-its-fourteenth-fund/
f:7,51,Charles River Partnership XIII,2007-04-01,285000000.0,http://www.techcrunch.com/2009/03/30/charles-river-ventures-raises-320-million-for-its-fourteenth-fund/
f:2196,52,Fund II,2009-03-30,140000000.0,http://www.pehub.com/35726/new-capital-partners-raises-second-fund/
f:61,53,India Fund,2008-12-09,110000000.0,http://www.vccircle.com/500/news/mayfield-raises-110-million-india-fund
f:1749,56,Eighth Fund,2009-04-08,0.0,http://www.pehub.com/36503/domain-associates-raising-fund-viii/
f:2472,57,$550M HealthCare Fund,2007-03-05,550000000.0,http://venturebeat.com/2007/03/05/mpm-capital-raises-550m-healthcare-fund/
f:2535,58,Silver Lake Sumeru,2007-08-30,726000000.0,http://venturebeat.com/2007/08/30/silver-lake-raises-726m-for-middle-market-fund/
f:2263,60,Cleantech Fund,2008-05-23,191500000.0,http://deals.venturebeat.com/2008/05/23/craton-equity-partners-wraps-up-1915m-cleantech-fund/
