c_id,ipo_id,val_amount,raised_amount,ipo_date,stock_symbol
c:4708,46,0.0,0.0,1996-08-16,NASDAQ: ETFC
c:570,66,0.0,0.0,1988-06-28,NYSE:SSP
c:6292,92,0.0,0.0,1998-10-16,NYSE:GIB
c:14963,108,0.0,0.0,1999-03-07,NASDAQ:INFA
c:30039,244,1242000.0,156300000.0,2009-11-01,NASDAQ:FTNT
c:36983,247,0.0,33000000.0,1998-07-17,NASDAQ:BIRT
c:37366,250,10400000.0,0.0,2012-03-23,NASDAQ:GALT
c:1680,391,0.0,1000000000.0,2010-07-09,NASDAQ:TSLA
c:5990,451,0.0,957000000.0,2007-08-14,NYSE:VMW
c:55987,455,0.0,10000000.0,2013-05-30,NASDAQ:ONTY
c:65949,575,0.0,115000000.0,2013-05-21,NASDAQ:ACAD
c:176,661,9310000000.0,352800000.0,2011-07-20,NYSE:LNKD
c:2312,673,3000000000.0,216000000.0,2011-06-29,NASDAQ:AWAY
c:959,690,2550000000.0,205000000.0,2011-07-19,NASDAQ:Z
c:117380,731,0.0,743400000.0,2011-05-13,NYSE:RENN
c:11391,746,12800000000.0,0.0,2011-11-07,NASDAQ:GRPN
c:26025,766,0.0,223300000.0,2010-10-15,HKG:2468
c:113,771,1300000000.0,107000000.0,2012-03-02,NYSE:YELP
c:151699,772,0.0,93000000.0,2006-09-07,NASDAQ:IPGP
c:24982,775,0.0,130000000.0,2011-11-16,NASDAQ:CLVS
c:7060,776,0.0,0.0,2012-01-01,NYSE:XRX
c:12178,780,0.0,0.0,2012-03-22,NYSE:ET
c:6314,781,1000000000.0,0.0,2011-04-22,NASDAQ:BRSE
c:48759,782,86250000.0,0.0,2012-03-23,NASDAQ:TSRO
c:23283,783,973500000.0,0.0,2012-03-28,NYSE:MM
c:17773,784,0.0,0.0,2012-03-27,NYSE:VCRA
c:163,786,0.0,0.0,2012-03-29,PRSS
c:61220,787,0.0,0.0,2012-03-29,NASDAQ:MACK
c:28396,788,0.0,0.0,2012-03-30,NASDAQ:ENPH
c:47461,806,0.0,0.0,2001-04-12,NYSE:ABB
c:1705,845,3273770000.0,0.0,2011-12-21,TRIP
c:5,847,104000000000.0,18400000000.0,2012-05-18,NASDAQ:FB
c:37740,859,0.0,0.0,2007-07-25,NASDAQ:OREX
c:33497,860,0.0,0.0,2012-02-29,NYSE AMEX: YMI; TSX:YM
c:17482,862,0.0,0.0,2007-11-01,NASDAQ: SDBT
c:5037,881,0.0,0.0,2006-02-14,NYSE Amex: LOV
c:15832,888,0.0,81000000.0,2013-03-13,NYSE:SSNI
c:47834,892,0.0,170000000.0,2013-03-14,ASX:MSB
c:4004,896,0.0,105000000.0,2013-03-22,NYSE:MRIN
c:193887,898,0.0,0.0,2009-12-23,TSX-V:VZX
c:3739,899,465000000.0,79000000.0,2013-04-02,NASDAQ:MKTO
c:6306,901,315000000.0,84000000.0,2013-04-12,RALY
c:181418,906,0.0,0.0,2010-12-15,CDON
c:14839,908,0.0,254000000.0,2013-05-16,NYSE:DATA
c:24834,910,0.0,54000000.0,2013-06-25,NASDAQ:NSTG
c:213383,914,0.0,40300000.0,2013-05-20,NASDAQ:RMTI
c:214629,919,0.0,25000000.0,2013-05-21,NASDAQ:ADHD
c:624,920,287000000.0,81000000.0,2013-05-23,NYSE:ECOM
c:215136,921,232000000.0,77000000.0,2013-05-22,NYSE:BRSS
c:104377,923,0.0,75000000.0,2013-06-27,NYSE:TRMR
c:140259,924,0.0,100000000.0,2013-05-07,NASDAQ:PTLA
c:65680,925,223000000.0,51000000.0,2013-05-23,NASDAQ:PETX
c:47372,926,0.0,65000000.0,2007-12-12,NYSE: VIT
c:216850,927,1100000000.0,333000000.0,2013-05-22,NYSE:CSTM
c:219194,931,0.0,23000000.0,2013-05-30,NASDAQ:EVOK
c:221142,934,0.0,51600000.0,2013-05-31,NASDAQ:NDAQ
c:47257,935,0.0,57300000.0,2013-06-04,NASDAQ:ICEL
c:56800,936,0.0,0.0,2010-11-05,OTCBB:NVIV
c:222259,937,0.0,345000000.0,2013-06-05,NYSE:ATHL
c:36788,938,322000000.0,125000000.0,2013-06-20,NASDAQ:PTCT
c:10795,939,0.0,0.0,2013-06-06,OTC:FNJN
c:62886,940,0.0,79000000.0,2013-06-06,NYSE:LITB
c:171885,941,0.0,15000000.0,2013-06-06,OTC:CGIX
c:72361,944,314000000.0,75000000.0,2013-06-07,NYSE:TXTR
c:3526,946,0.0,0.0,2011-04-21,MKTG
c:179475,947,0.0,0.0,2009-06-23,MAHH.BO
c:38752,948,0.0,86000000.0,2013-06-10,NASDAQ:AGIO
c:44687,950,0.0,128250000.0,2013-06-11,NYSE:GIMO
c:67218,952,0.0,1000000000.0,2013-06-13,NYSE:COTY
c:225501,953,0.0,1330000000.0,2013-06-13,NASDAQ:HDS
c:225619,954,0.0,1600000000.0,2013-06-13,NYSE:AR
c:209318,956,3620128462.0,599850000.0,2013-06-14,NASDAQ:CDW
c:68572,957,0.0,69000000.0,2013-06-14,NASDAQ :CNAT
c:36920,958,0.0,230000000.0,2013-06-17,NASDAQ:SALE
c:33411,959,0.0,60000000.0,2013-05-21,NASDAQ:EPZM
c:220180,960,0.0,75000000.0,2013-06-17,NASDAQ:NDLS
c:168168,962,0.0,75000000.0,2013-06-17,NASDAQ:ONTX
c:227543,963,0.0,212000000.0,2013-06-17,NYSE:WPT
c:227580,964,0.0,115000000.0,2013-06-14,NYSE:IACG
c:227610,966,0.0,60000000.0,2013-06-17,LSE:SFT
c:24713,969,0.0,78000000.0,2013-06-18,NASDAQ:RNA
c:228119,970,0.0,145000000.0,2013-06-18,NASDAQ:IRKO
c:43753,971,0.0,101000000.0,2013-06-18,NASDAQ:BLUE
c:27657,973,0.0,80000000.0,2013-05-28,NYSE:LXFT
c:228623,977,0.0,10000000.0,2013-06-19,NYSE:PAL
c:37437,980,0.0,642000000.0,2013-06-17,NASDAQ:CDW
