invested_id,investor_id,date,round,amount
c:5,p:2603,2005-05-01,series-a,12700000
c:5,p:570,2005-05-01,series-a,12700000
c:34,p:121392,2007-02-01,series-b,5500000
c:34,p:3222,2007-02-01,series-b,5500000
c:34,p:1390,2007-02-01,series-b,5500000
c:38,p:125,2007-07-01,series-a,2250000
c:234,p:570,2004-01-01,angel,300000
c:12,p:148,2007-07-01,series-a,5000000
c:12,p:475,2007-07-01,series-a,5000000
c:12,p:795,2007-07-01,series-a,5000000
c:12,p:125,2007-07-01,series-a,5000000
c:12,p:8065,2007-07-01,series-a,5000000
c:12,p:45286,2007-07-01,series-a,5000000
c:12,p:24564,2007-07-01,series-a,5000000
c:322,p:1081,2010-11-16,series-a,0
c:36,p:1389,2007-01-01,series-b,16000000
c:36,p:1392,2007-01-01,series-b,16000000
c:429,p:1553,2004-08-01,series-b,15000000
c:429,p:1554,2004-08-01,series-b,15000000
c:698,p:431,2006-10-27,angel,1000000
c:698,p:454,2006-10-27,angel,1000000
c:698,p:1814,2006-10-27,angel,1000000
c:698,p:44933,2006-10-27,angel,1000000
c:698,p:693,2006-10-27,angel,1000000
c:698,p:504,2006-10-27,angel,1000000
c:1080,p:2813,2005-10-01,series-a,1100000
c:1080,p:9017,2005-10-01,series-a,1100000
c:1080,p:9016,2005-10-01,series-a,1100000
c:1088,p:4227,2007-10-31,series-a,750000
c:1088,p:7308,2007-10-31,series-a,750000
c:1163,p:628,2007-02-20,series-a,3100000
c:1163,p:125,2007-02-20,series-a,3100000
c:1388,p:3532,2006-08-01,series-a,5000000
c:1388,p:628,2006-08-01,series-a,5000000
c:1388,p:3532,2007-09-01,series-b,5000000
c:1388,p:628,2007-09-01,series-b,5000000
c:1390,p:1390,2007-09-01,series-b,50000000
c:200,p:904,2007-11-01,series-a,6000000
c:200,p:125,2007-11-01,series-a,6000000
c:200,p:3222,2007-11-01,series-a,6000000
c:200,p:5784,2007-11-01,series-a,6000000
c:200,p:2267,2007-11-01,series-a,6000000
c:200,p:570,2007-11-01,series-a,6000000
c:200,p:3963,2007-11-01,series-a,6000000
c:200,p:2603,2007-11-01,series-a,6000000
c:200,p:2317,2007-11-01,series-a,6000000
c:200,p:5785,2007-11-01,series-a,6000000
c:200,p:2262,2007-11-01,series-a,6000000
c:200,p:504,2007-11-01,series-a,6000000
c:1053,p:3378,2007-12-18,series-a,3000000
c:1668,p:35482,2006-06-01,series-c+,75000000
c:1960,p:179815,2007-02-11,series-a,5000000
c:2041,p:639,2008-02-11,angel,320000
c:2041,p:638,2008-02-11,angel,320000
c:2041,p:5529,2008-02-11,angel,320000
c:2041,p:3859,2008-02-11,angel,320000
c:1038,p:3729,2008-01-28,series-b,15000000
c:1923,p:6291,2008-02-07,angel,900000
c:1923,p:5009,2008-02-07,angel,900000
c:1923,p:7550,2008-02-07,angel,900000
c:1923,p:7551,2008-02-07,angel,900000
c:1923,p:406,2008-02-07,angel,900000
c:1923,p:3852,2008-02-07,angel,900000
c:1923,p:7553,2008-02-07,angel,900000
c:1923,p:7554,2008-02-07,angel,900000
c:1923,p:570,2008-02-07,angel,900000
c:1923,p:7572,2008-02-07,angel,900000
c:1923,p:4452,2008-02-07,angel,900000
c:1923,p:426,2008-02-07,angel,900000
c:1923,p:2117,2008-02-07,angel,900000
c:1923,p:524,2008-02-07,angel,900000
c:1923,p:3619,2008-02-07,angel,900000
c:1923,p:806,2008-02-07,angel,900000
c:1923,p:19656,2008-02-07,angel,900000
c:2638,p:6550,2008-02-25,series-a,5000000
c:1523,p:3379,2008-03-01,series-a,3000000
c:1523,p:2317,2008-03-01,series-a,3000000
c:3126,p:7572,2008-03-13,series-a,6500000
c:3415,p:365,2008-03-01,angel,0
c:5,p:3789,2007-11-30,series-c+,60000000
c:12,p:6,2008-05-01,series-b,15000000
c:12,p:18479,2008-05-01,series-b,15000000
c:3556,p:10691,2008-05-07,series-b,16000000
c:3860,p:566,2006-04-26,series-a,5000000
c:567,p:245777,2007-10-15,angel,0
c:567,p:475,2007-10-15,angel,0
c:567,p:7554,2007-10-15,angel,0
c:1364,p:11175,2008-05-30,private-equity,9900000
c:1364,p:12715,2008-05-30,private-equity,9900000
c:1364,p:12716,2008-05-30,private-equity,9900000
c:6117,p:13221,2000-06-07,series-b,20000000
c:975,p:570,2008-01-14,series-a,1300000
c:701,p:148,2008-06-26,series-a,1500000
c:701,p:16171,2008-06-26,series-a,1500000
c:7076,p:14519,2006-01-01,series-a,3500000
c:1308,p:5149,2008-07-01,series-a,0
c:1308,p:24035,2008-07-01,series-a,0
c:6454,p:1646,2008-07-01,series-a,1800000
c:6454,p:7572,2008-07-01,series-a,1800000
c:6454,p:746,2008-07-01,series-a,1800000
c:6454,p:14879,2008-07-01,series-a,1800000
c:5377,p:10810,2008-07-15,venture,2700000
c:3638,p:148,2010-07-28,series-c+,3000000
c:8583,p:3222,2008-07-21,series-a,5000000
c:761,p:7572,2008-08-18,series-a,5000000
c:761,p:1438,2008-08-18,series-a,5000000
c:640,p:5996,2008-09-16,series-a,2100000
c:4415,p:26,2008-09-16,series-a,4000000
c:4415,p:415,2008-09-16,series-a,4000000
c:4415,p:11541,2008-09-16,series-a,4000000
c:4415,p:8520,2008-09-16,series-a,4000000
c:4415,p:18188,2008-09-16,series-a,4000000
c:3194,p:18828,2008-09-24,series-c+,15000000
c:1731,p:746,2006-12-01,angel,0
c:1731,p:639,2006-12-01,angel,0
c:3126,p:7572,2008-10-28,series-b,15000000
c:12906,p:1390,2008-10-27,venture,0
c:2964,p:20187,2000-08-22,series-b,30000000
c:2964,p:20188,2000-08-22,series-b,30000000
c:2964,p:20197,2002-09-15,series-c+,5000000
c:2964,p:20187,2002-09-15,series-c+,5000000
c:2964,p:20197,2004-04-27,series-c+,5000000
c:2964,p:20187,2004-04-27,series-c+,5000000
c:8676,p:570,2008-11-04,series-a,6030000
c:8676,p:32495,2008-11-04,series-a,6030000
c:9740,p:1243,2008-06-09,series-a,1600000
c:13807,p:450,2009-01-01,angel,1000000
c:13807,p:1235,2009-01-01,angel,1000000
c:13807,p:743,2009-01-01,angel,1000000
c:13807,p:8065,2009-01-01,angel,1000000
c:13807,p:40563,2009-01-01,angel,1000000
c:13807,p:2239,2009-01-01,angel,1000000
c:14862,p:795,2008-01-01,angel,0
c:15400,p:619,2008-04-01,series-a,3200000
