observation_date,3m,6m,1y,5y,10y,is_inverted
1985-01-01,8.02,8.45,9.02,10.93,11.38,0
1985-02-01,8.56,8.87,9.29,11.13,11.51,0
1985-03-01,8.83,9.45,9.86,11.52,11.86,0
1985-04-01,8.22,8.71,9.14,11.01,11.43,0
1985-05-01,7.73,8.07,8.46,10.34,10.85,0
1985-06-01,7.18,7.46,7.80,9.60,10.16,0
1985-07-01,7.32,7.57,7.86,9.70,10.31,0
1985-08-01,7.37,7.71,8.05,9.81,10.33,0
1985-09-01,7.33,7.64,8.07,9.81,10.37,0
1985-10-01,7.40,7.71,8.01,9.69,10.24,0
1985-11-01,7.48,7.68,7.88,9.28,9.78,0
1985-12-01,7.33,7.50,7.67,8.73,9.26,0
1986-01-01,7.30,7.53,7.73,8.68,9.19,0
1986-02-01,7.29,7.47,7.61,8.34,8.70,0
1986-03-01,6.76,6.89,7.03,7.46,7.78,0
1986-04-01,6.24,6.36,6.44,7.05,7.30,0
1986-05-01,6.33,6.47,6.65,7.52,7.71,0
1986-06-01,6.40,6.56,6.73,7.64,7.80,0
1986-07-01,6.00,6.12,6.27,7.06,7.30,0
1986-08-01,5.69,5.79,5.93,6.80,7.17,0
1986-09-01,5.35,5.57,5.77,6.92,7.45,0
1986-10-01,5.32,5.48,5.72,6.83,7.43,0
1986-11-01,5.50,5.64,5.80,6.76,7.25,0
1986-12-01,5.68,5.78,5.87,6.67,7.11,0
1987-01-01,5.58,5.67,5.78,6.64,7.08,0
1987-02-01,5.75,5.83,5.96,6.79,7.25,0
1987-03-01,5.77,5.86,6.03,6.79,7.25,0
1987-04-01,5.82,6.19,6.50,7.57,8.02,0
1987-05-01,5.85,6.35,7.00,8.26,8.61,0
1987-06-01,5.85,6.28,6.80,8.02,8.40,0
1987-07-01,5.88,6.05,6.68,8.01,8.45,0
1987-08-01,6.23,6.46,7.03,8.32,8.76,0
1987-09-01,6.62,6.99,7.67,8.94,9.42,0
1987-10-01,6.35,7.04,7.59,9.08,9.52,0
1987-11-01,5.89,6.50,6.96,8.35,8.86,0
1987-12-01,5.96,6.68,7.17,8.45,8.99,0
1988-01-01,6.00,6.56,6.99,8.18,8.67,0
1988-02-01,5.84,6.21,6.64,7.71,8.21,0
1988-03-01,5.87,6.18,6.71,7.83,8.37,0
1988-04-01,6.08,6.50,7.01,8.19,8.72,0
1988-05-01,6.45,6.89,7.40,8.58,9.09,0
1988-06-01,6.66,7.04,7.49,8.49,8.92,0
1988-07-01,6.95,7.35,7.75,8.66,9.06,0
1988-08-01,7.30,7.79,8.17,8.94,9.26,0
1988-09-01,7.48,7.82,8.09,8.69,8.98,0
1988-10-01,7.60,7.90,8.11,8.51,8.80,0
1988-11-01,8.03,8.30,8.48,8.79,8.96,0
1988-12-01,8.35,8.70,8.99,9.09,9.11,0
1989-01-01,8.56,8.85,9.05,9.15,9.09,0
1989-02-01,8.84,9.05,9.25,9.27,9.17,0
1989-03-01,9.14,9.39,9.57,9.51,9.36,0
1989-04-01,8.96,9.17,9.36,9.30,9.18,0
1989-05-01,8.74,8.91,8.98,8.91,8.86,0
1989-06-01,8.43,8.38,8.44,8.29,8.28,1
1989-07-01,8.15,8.01,7.89,7.83,8.02,1
1989-08-01,8.17,8.17,8.18,8.09,8.11,1
1989-09-01,8.01,8.16,8.22,8.17,8.19,0
1989-10-01,7.90,8.03,7.99,7.97,8.01,1
1989-11-01,7.94,7.89,7.77,7.81,7.87,1
1989-12-01,7.88,7.81,7.72,7.75,7.84,1
1990-01-01,7.90,7.96,7.92,8.12,8.21,0
1990-02-01,8.00,8.12,8.11,8.42,8.47,0
1990-03-01,8.17,8.28,8.35,8.60,8.59,0
1990-04-01,8.04,8.27,8.40,8.77,8.79,0
1990-05-01,8.01,8.19,8.32,8.74,8.76,0
1990-06-01,7.99,8.05,8.10,8.43,8.48,0
1990-07-01,7.87,7.92,7.94,8.33,8.47,0
1990-08-01,7.69,7.77,7.78,8.44,8.75,0
1990-09-01,7.60,7.70,7.76,8.51,8.89,0
